name
Contract: Breaking the Unbreakable
Contract: Death to Darnaw
Contract: Heart of Glory
Contract: The Slaver King
Contract: The Twins
Doppelgänger Guise
Gloomfang
Maelström of Chaos
Mjölner
Pyre
The Blood of Innocence
The Broken Censer
The Chains of Castigation
The Enmity Divine
The First Crest
The Flow Untethered
The Fracturing Spinner
The Gilded Chalice
The Hour of Divinity
The Night Lamp
The Original Scripture
The Power and the Promise
The Rippling Thoughts
The Second Sacrament
The Tempest's Binding
The Unshattered Will
