name,stat text raw,min_avg,max_avg
Abberath's Hooves,(6-10)% chance to Ignite,6,10
Abberath's Hooves,+(20-30) to Strength,20,30
Abberath's Horn,Adds (4-6) to (8-12) Fire Damage to Spells,6,9
Abberath's Horn,Adds (1-2) to (3-4) Fire Damage to Spells and Attacks,2,3
Abberath's Horn,(40-60)% increased Global Critical Strike Chance,40,60
Abberath's Horn,(20-30)% increased Fire Damage,20,30
Abhorrent Interrogation,(100-150)% increased Evasion and Energy Shield,100,150
Abhorrent Interrogation,(20-25)% chance to inflict Withered for 2 seconds on Hit,20,25
Abhorrent Interrogation,(5-7)% increased Attack and Cast Speed,5,7
Abyssus,+(20-25) to all Attributes,20,25
Abyssus,(100-120)% increased Armour,100,120
Abyssus,+(100-125)% to Melee Critical Strike Multiplier,100,125
Abyssus,(40-50)% increased Physical Damage taken,40,50
Acton's Nightmare,(80-100)% increased Quantity of Items found in this Area&lt;br&gt;Area is inhabited by Skeletons,41,51
Acton's Nightmare,(220-250)% increased Rarity of Items found in this Area,220,250
Actum,(200-250)% increased Physical Damage,200,250
Actum,Critical Strike Chance is (30-40)% for Hits with this Weapon,30,40
Admiral's Arrogance,(6-12)% increased Attack Speed,6,12
Admiral's Arrogance,(100-140)% increased Armour,100,140
Admiral's Arrogance,"(10-20)% chance that if you would gain Rage on Hit, you instead gain up to your maximum Rage",10,20
Admiral's Arrogance,+(1-3) to Level of all Melee Skill Gems,1,3
Advancing Fortress,Reflects (71-90) Physical Damage to Melee Attackers,71,90
Advancing Fortress,+(30-50) to maximum Life,30,50
Advancing Fortress,(100-120)% increased Physical Damage,100,120
Aegis Aurora,(10-20)% increased Elemental Damage with Attack Skills,10,20
Aegis Aurora,(300-400)% increased Armour and Energy Shield,300,400
Agnerod East,(30-50)% increased Lightning Damage,30,50
Agnerod East,+(80-120) to Intelligence,80,120
Agnerod North,(30-50)% increased Lightning Damage,30,50
Agnerod North,+(80-120) to Intelligence,80,120
Agnerod South,(30-50)% increased Lightning Damage,30,50
Agnerod South,+(80-120) to Intelligence,80,120
Agnerod West,Adds (5-15) to (100-140) Lightning Damage to Spells,53,78
Agnerod West,(30-50)% increased Lightning Damage,30,50
Agnerod West,+(80-120) to Intelligence,80,120
Ahkeli's Meadow,+(20-30)% to Fire Resistance,20,30
Ahkeli's Mountain,+(20-30)% to Fire Resistance,20,30
Ahkeli's Valley,+(20-30)% to Fire Resistance,20,30
Ahn's Contempt,+(15-20) to all Attributes,15,20
Ahn's Contempt,+(60-70) to maximum Life,60,70
Ahn's Contempt,Gain (8-12)% of Physical Damage as Extra Chaos Damage while at maximum Power Charges,8,12
Ahn's Contempt,(60-140)% increased Armour and Energy Shield,60,140
Ahn's Heritage,(50-100)% increased Armour,50,100
Ahn's Heritage,+(10-20) to maximum Life,10,20
Ahn's Heritage,+(60-80) to maximum Life,60,80
