name,stat text raw,min_avg,max_avg
Abberath's Hooves,(6-10)% chance to Ignite,6,10
Abberath's Hooves,1% increased Fire Damage per 20 Strength,1,1
Abberath's Hooves,+(20-30) to Strength,20,30
Abberath's Hooves,Triggers Level 7 Abberath's Fury when Equipped,7,7
Abberath's Hooves,Burning Hoofprints,1,1
Abberath's Hooves,15% increased Movement Speed,15,15
Abberath's Hooves,"When you Kill an Ignited Enemy, inflict an equivalent Ignite on each nearby Enemy",1,1
Abberath's Horn,Adds (4-6) to (8-12) Fire Damage to Spells,6,9
Abberath's Horn,Gain 10 Life per Ignited Enemy Killed,10,10
Abberath's Horn,Adds (1-2) to (3-4) Fire Damage to Spells and Attacks,2,3
Abberath's Horn,25% reduced Ignite Duration on Enemies,-25,-25
Abberath's Horn,(40-60)% increased Global Critical Strike Chance,40,60
Abberath's Horn,(20-30)% increased Fire Damage,20,30
Abhorrent Interrogation,(100-150)% increased Evasion and Energy Shield,100,150
Abhorrent Interrogation,(20-25)% chance to inflict Withered for 2 seconds on Hit,20,25
Abhorrent Interrogation,Enemies take 4% increased Elemental Damage from your Hits for&lt;br&gt;each Withered you have inflicted on them,4,4
Abhorrent Interrogation,(5-7)% increased Attack and Cast Speed,5,7
Abhorrent Interrogation,Your Hits cannot Penetrate or ignore Elemental Resistances,1,1
Abyssus,+(20-25) to all Attributes,20,25
Abyssus,(100-120)% increased Armour,100,120
Abyssus,Adds 40 to 60 Physical Damage to Attacks,50,50
Abyssus,+(100-125)% to Melee Critical Strike Multiplier,100,125
Abyssus,(40-50)% increased Physical Damage taken,40,50
Acton's Nightmare,(80-100)% increased Quantity of Items found in this Area&lt;br&gt;Area is inhabited by Skeletons,41,51
Acton's Nightmare,Area contains a Large Chest,1,1
Acton's Nightmare,(220-250)% increased Rarity of Items found in this Area,220,250
Acton's Nightmare,Area is a large Maze,1,1
Acton's Nightmare,Area has patches of Burning Ground&lt;br&gt;20 patches with Ground Effect per 100 tiles (Hidden)&lt;br&gt;Ground Effect has a radius of 14 (Hidden),5345,5345
Acton's Nightmare,Undead Monsters resurrect after 10 seconds (Hidden),10,10
Acton's Nightmare,Restless Dead,1,1
Actum,Has no Sockets,1,1
Actum,(200-250)% increased Physical Damage,200,250
Actum,Critical Strike Chance is (30-40)% for Hits with this Weapon,30,40
Actum,You have no Intelligence,1,1
Admiral's Arrogance,(6-12)% increased Attack Speed,6,12
Admiral's Arrogance,(100-140)% increased Armour,100,140
Admiral's Arrogance,"(10-20)% chance that if you would gain Rage on Hit, you instead gain up to your maximum Rage",10,20
Admiral's Arrogance,+(1-3) to Level of all Melee Skill Gems,1,3
Advancing Fortress,+110 to Evasion Rating,110,110
Advancing Fortress,Reflects (71-90) Physical Damage to Melee Attackers,71,90
Advancing Fortress,15% Chance to Block Attack Damage,15,15
Advancing Fortress,Socketed Gems are Supported by Level 12 Fortify,12,12
Advancing Fortress,+(30-50) to maximum Life,30,50
Advancing Fortress,(100-120)% increased Physical Damage,100,120
Advancing Fortress,Grants 44 Life per Enemy Hit,44,44
Advancing Fortress,+35 to maximum Energy Shield,35,35
Aegis Aurora,+10% to all Elemental Resistances,10,10
Aegis Aurora,(10-20)% increased Elemental Damage with Attack Skills,10,20
Aegis Aurora,(300-400)% increased Armour and Energy Shield,300,400
Aegis Aurora,+5% to maximum Cold Resistance,5,5
Aegis Aurora,Recover Energy Shield equal to 2% of Armour when you Block,2,2
Aegis Aurora,+6% Chance to Block,6,6
Agnerod East,Damage Penetrates 20% Lightning Resistance,20,20
Agnerod East,40% increased Strength Requirement,40,40
Agnerod East,+2 to Level of all Lightning Spell Skill Gems,2,2
Agnerod East,+25% Chance to Block Spell Damage while wielding a Staff,25,25
Agnerod East,(30-50)% increased Lightning Damage,30,50
Agnerod East,100% increased Duration of Lightning Ailments,100,100
Agnerod East,+(80-120) to Intelligence,80,120
Agnerod North,(30-50)% increased Lightning Damage,30,50
Agnerod North,40% increased Strength Requirement,40,40
Agnerod North,+2 to Level of all Lightning Spell Skill Gems,2,2
Agnerod North,+25% Chance to Block Spell Damage while wielding a Staff,25,25
Agnerod North,Damage Penetrates 20% Lightning Resistance,20,20
Agnerod North,+(80-120) to Intelligence,80,120
Agnerod North,15% chance to Shock,15,15
Agnerod South,Damage Penetrates 20% Lightning Resistance,20,20
Agnerod South,40% increased Strength Requirement,40,40
Agnerod South,+2 to Level of all Lightning Spell Skill Gems,2,2
Agnerod South,+25% Chance to Block Spell Damage while wielding a Staff,25,25
Agnerod South,+5% to maximum Lightning Resistance,5,5
Agnerod South,(30-50)% increased Lightning Damage,30,50
Agnerod South,+(80-120) to Intelligence,80,120
Agnerod West,Damage Penetrates 20% Lightning Resistance,20,20
Agnerod West,Adds (5-15) to (100-140) Lightning Damage to Spells,53,78
Agnerod West,40% increased Strength Requirement,40,40
Agnerod West,+2 to Level of all Lightning Spell Skill Gems,2,2
Agnerod West,+25% Chance to Block Spell Damage while wielding a Staff,25,25
Agnerod West,(30-50)% increased Lightning Damage,30,50
Agnerod West,+(80-120) to Intelligence,80,120
Ahkeli's Meadow,+(20-30)% to Fire Resistance,20,30
Ahkeli's Meadow,5% increased maximum Life,5,5
Ahkeli's Meadow,+20 to Strength,20,20
Ahkeli's Meadow,5% increased maximum Energy Shield,5,5
Ahkeli's Mountain,+(20-30)% to Fire Resistance,20,30
Ahkeli's Mountain,5% increased maximum Life,5,5
Ahkeli's Mountain,+20 to Strength,20,20
Ahkeli's Mountain,5% increased maximum Energy Shield,5,5
Ahkeli's Valley,+(20-30)% to Fire Resistance,20,30
Ahkeli's Valley,5% increased maximum Life,5,5
Ahkeli's Valley,+20 to Strength,20,20
Ahkeli's Valley,5% increased maximum Energy Shield,5,5
Ahn's Contempt,+(15-20) to all Attributes,15,20
Ahn's Contempt,-1 to Maximum Power Charges,-1,-1
Ahn's Contempt,+(60-70) to maximum Life,60,70
Ahn's Contempt,Gain (8-12)% of Physical Damage as Extra Chaos Damage while at maximum Power Charges,8,12
Ahn's Contempt,You take 50% reduced Extra Damage from Critical Strikes while you have no Power Charges,-50,-50
Ahn's Contempt,(60-140)% increased Armour and Energy Shield,60,140
Ahn's Heritage,(50-100)% increased Armour,50,100
Ahn's Heritage,+2% to all maximum Resistances while you have no Endurance Charges,2,2
Ahn's Heritage,-10% to maximum Chance to Block Attack Damage,-10,-10
Ahn's Heritage,+(10-20) to maximum Life,10,20
Ahn's Heritage,+(60-80) to maximum Life,60,80
Ahn's Heritage,-1 to Maximum Endurance Charges,-1,-1
Ahn's Heritage,You have Onslaught while at maximum Endurance Charges,1,1
Ahn's Heritage,+6% Chance to Block,6,6
Ahn's Might,Adds (80-115) to (150-205) Physical Damage,115,160
Ahn's Might,-1 to Maximum Frenzy Charges,-1,-1
Ahn's Might,(15-25)% increased Critical Strike Chance,15,25
Ahn's Might,+(400-500) to Accuracy Rating while at Maximum Frenzy Charges,400,500
Ahn's Might,40% increased Global Accuracy Rating,40,40
Ahn's Might,10% increased Area of Effect,10,10
Ahn's Might,+50% Global Critical Strike Multiplier while you have no Frenzy Charges,50,50
Ahn's Might,+100 Strength Requirement,100,100
Ahuana's Bite,Adds (30-40) to (60-70) Cold Damage to Attacks,45,55
Ahuana's Bite,Gain (6-8) Life per Enemy Hit with Attacks,6,8
Ahuana's Bite,+(20-30)% to Cold Resistance,20,30
Ahuana's Bite,Enemies Chilled by your Hits have Damage taken increased by Chill Effect,1,1
Ahuana's Bite,Chill Enemies as though dealing (60-100)% more Damage,60,100
Akoya's Gaze,(20-25)% increased Warcry Speed,20,25
Akoya's Gaze,+100 Strength Requirement,100,100
Akoya's Gaze,Non-Exerted Attacks deal no Damage,1,1
Akoya's Gaze,Life Leech from Exerted Attacks is instant,1,1
Al Dhih,25% increased Warcry Buff Effect,25,25
Al Dhih,Warcry Skills' Cooldown Time is 4 seconds,1,1
Al Dhih,"Enemies Taunted by your Warcries Explode on death, dealing 8% of their maximum Life as Chaos Damage",100,100
Al Dhih,3% of Physical Attack Damage Leeched as Life,300,300
