league,market_id,volume_traded,lowest_stock,highest_stock,lowest_ratio,highest_ratio
Mirage,flesh-of-xesht|chaos,"{'flesh-of-xesht': 103, 'chaos': 8289}","{'flesh-of-xesht': 132, 'chaos': 42271}","{'flesh-of-xesht': 140, 'chaos': 48991}","{'flesh-of-xesht': 1, 'chaos': 90}","{'flesh-of-xesht': 1, 'chaos': 80}"
Mirage,flesh-of-xesht|divine,"{'flesh-of-xesht': 0, 'divine': 0}","{'flesh-of-xesht': 261, 'divine': 144}","{'flesh-of-xesht': 261, 'divine': 144}","{'flesh-of-xesht': 0, 'divine': 0}","{'flesh-of-xesht': 0, 'divine': 0}"
Mirage,crusaders-exalted-orb|chaos,"{'crusaders-exalted-orb': 38, 'chaos': 10976}","{'crusaders-exalted-orb': 70, 'chaos': 23820}","{'crusaders-exalted-orb': 87, 'chaos': 27019}","{'crusaders-exalted-orb': 1, 'chaos': 330}","{'crusaders-exalted-orb': 1, 'chaos': 228}"
Mirage,crusaders-exalted-orb|divine,"{'crusaders-exalted-orb': 15, 'divine': 16}","{'crusaders-exalted-orb': 18, 'divine': 162}","{'crusaders-exalted-orb': 22, 'divine': 173}","{'crusaders-exalted-orb': 4, 'divine': 5}","{'crusaders-exalted-orb': 1, 'divine': 1}"
Mirage,torment-scarab-of-possession|chaos,"{'torment-scarab-of-possession': 1102, 'chaos': 382}","{'torment-scarab-of-possession': 719, 'chaos': 3858}","{'torment-scarab-of-possession': 2066, 'chaos': 5758}","{'torment-scarab-of-possession': 1, 'chaos': 1}","{'torment-scarab-of-possession': 3, 'chaos': 1}"
Mirage,synthesising-fragment|chaos,"{'synthesising-fragment': 1597, 'chaos': 18100}","{'synthesising-fragment': 3824, 'chaos': 15911}","{'synthesising-fragment': 4550, 'chaos': 21331}","{'synthesising-fragment': 1, 'chaos': 13}","{'synthesising-fragment': 1, 'chaos': 9}"
Mirage,synthesising-fragment|divine,"{'synthesising-fragment': 597, 'divine': 20}","{'synthesising-fragment': 4068, 'divine': 0}","{'synthesising-fragment': 5601, 'divine': 0}","{'synthesising-fragment': 29, 'divine': 1}","{'synthesising-fragment': 63, 'divine': 2}"
Mirage,domination-scarab-of-evolution|chaos,"{'domination-scarab-of-evolution': 446, 'chaos': 215}","{'domination-scarab-of-evolution': 1355, 'chaos': 0}","{'domination-scarab-of-evolution': 3449, 'chaos': 98}","{'domination-scarab-of-evolution': 1, 'chaos': 1}","{'domination-scarab-of-evolution': 4, 'chaos': 1}"
Mirage,underground-forest|chaos,"{'underground-forest': 2, 'chaos': 10}","{'underground-forest': 43, 'chaos': 30}","{'underground-forest': 74, 'chaos': 40}","{'underground-forest': 1, 'chaos': 5}","{'underground-forest': 1, 'chaos': 5}"
Mirage,succor-of-the-sinless|chaos,"{'succor-of-the-sinless': 8, 'chaos': 2000}","{'succor-of-the-sinless': 27, 'chaos': 24191}","{'succor-of-the-sinless': 33, 'chaos': 26191}","{'succor-of-the-sinless': 1, 'chaos': 250}","{'succor-of-the-sinless': 1, 'chaos': 250}"
Mirage,succor-of-the-sinless|divine,"{'succor-of-the-sinless': 5, 'divine': 5}","{'succor-of-the-sinless': 98, 'divine': 11}","{'succor-of-the-sinless': 103, 'divine': 11}","{'succor-of-the-sinless': 1, 'divine': 1}","{'succor-of-the-sinless': 1, 'divine': 1}"
Mirage,the-admirer|chaos,"{'the-admirer': 2, 'chaos': 2}","{'the-admirer': 0, 'chaos': 157}","{'the-admirer': 0, 'chaos': 158}","{'the-admirer': 1, 'chaos': 1}","{'the-admirer': 1, 'chaos': 1}"
Mirage,tainted-catalyst|chaos,"{'tainted-catalyst': 2888, 'chaos': 16637}","{'tainted-catalyst': 10911, 'chaos': 30416}","{'tainted-catalyst': 11691, 'chaos': 36665}","{'tainted-catalyst': 2, 'chaos': 15}","{'tainted-catalyst': 1, 'chaos': 4}"
Mirage,tainted-catalyst|divine,"{'tainted-catalyst': 1472, 'divine': 34}","{'tainted-catalyst': 4917, 'divine': 92}","{'tainted-catalyst': 6305, 'divine': 94}","{'tainted-catalyst': 39, 'divine': 1}","{'tainted-catalyst': 57, 'divine': 1}"
Mirage,the-sigil|chaos,"{'the-sigil': 0, 'chaos': 0}","{'the-sigil': 388, 'chaos': 0}","{'the-sigil': 510, 'chaos': 0}","{'the-sigil': 0, 'chaos': 0}","{'the-sigil': 0, 'chaos': 0}"
Mirage,the-cataclysm|chaos,"{'the-cataclysm': 0, 'chaos': 0}","{'the-cataclysm': 4, 'chaos': 0}","{'the-cataclysm': 8, 'chaos': 0}","{'the-cataclysm': 0, 'chaos': 0}","{'the-cataclysm': 0, 'chaos': 0}"
Mirage,three-voices|chaos,"{'three-voices': 1190, 'chaos': 476}","{'three-voices': 2, 'chaos': 420}","{'three-voices': 1212, 'chaos': 1697}","{'three-voices': 5, 'chaos': 2}","{'three-voices': 5, 'chaos': 2}"
Mirage,the-deep-ones|chaos,"{'the-deep-ones': 20, 'chaos': 120}","{'the-deep-ones': 2184, 'chaos': 161}","{'the-deep-ones': 2184, 'chaos': 275}","{'the-deep-ones': 1, 'chaos': 6}","{'the-deep-ones': 1, 'chaos': 6}"
Mirage,tattoo-of-the-kitava-blood-drinker|chaos,"{'tattoo-of-the-kitava-blood-drinker': 131, 'chaos': 160}","{'tattoo-of-the-kitava-blood-drinker': 1095, 'chaos': 59}","{'tattoo-of-the-kitava-blood-drinker': 1123, 'chaos': 1059}","{'tattoo-of-the-kitava-blood-drinker': 1, 'chaos': 2}","{'tattoo-of-the-kitava-blood-drinker': 2, 'chaos': 1}"
Mirage,templar-astrolabe|chaos,"{'templar-astrolabe': 1524, 'chaos': 177889}","{'templar-astrolabe': 1430, 'chaos': 120518}","{'templar-astrolabe': 1758, 'chaos': 138831}","{'templar-astrolabe': 1, 'chaos': 133}","{'templar-astrolabe': 1, 'chaos': 90}"
Mirage,templar-astrolabe|divine,"{'templar-astrolabe': 297, 'divine': 86}","{'templar-astrolabe': 2117, 'divine': 461}","{'templar-astrolabe': 2450, 'divine': 475}","{'templar-astrolabe': 3, 'divine': 1}","{'templar-astrolabe': 5, 'divine': 1}"
Mirage,tainted-mythic-orb|chaos,"{'tainted-mythic-orb': 481, 'chaos': 2475}","{'tainted-mythic-orb': 3133, 'chaos': 274}","{'tainted-mythic-orb': 3427, 'chaos': 1078}","{'tainted-mythic-orb': 1, 'chaos': 7}","{'tainted-mythic-orb': 1, 'chaos': 1}"
Mirage,tainted-mythic-orb|divine,"{'tainted-mythic-orb': 40, 'divine': 1}","{'tainted-mythic-orb': 3115, 'divine': 0}","{'tainted-mythic-orb': 3115, 'divine': 0}","{'tainted-mythic-orb': 40, 'divine': 1}","{'tainted-mythic-orb': 40, 'divine': 1}"
Mirage,allflame-ember-of-propagation|chaos,"{'allflame-ember-of-propagation': 13, 'chaos': 139}","{'allflame-ember-of-propagation': 77, 'chaos': 806}","{'allflame-ember-of-propagation': 79, 'chaos': 1216}","{'allflame-ember-of-propagation': 1, 'chaos': 12}","{'allflame-ember-of-propagation': 1, 'chaos': 10}"
Mirage,home|chaos,"{'home': 68, 'chaos': 1597}","{'home': 122, 'chaos': 15683}","{'home': 146, 'chaos': 16664}","{'home': 1, 'chaos': 35}","{'home': 1, 'chaos': 21}"
Mirage,tattoo-of-the-ramako-shaman|chaos,"{'tattoo-of-the-ramako-shaman': 58, 'chaos': 26404}","{'tattoo-of-the-ramako-shaman': 134, 'chaos': 78741}","{'tattoo-of-the-ramako-shaman': 171, 'chaos': 85381}","{'tattoo-of-the-ramako-shaman': 1, 'chaos': 525}","{'tattoo-of-the-ramako-shaman': 1, 'chaos': 437}"
Mirage,tattoo-of-the-ramako-shaman|divine,"{'tattoo-of-the-ramako-shaman': 52, 'divine': 93}","{'tattoo-of-the-ramako-shaman': 2282, 'divine': 994}","{'tattoo-of-the-ramako-shaman': 2324, 'divine': 1018}","{'tattoo-of-the-ramako-shaman': 1, 'divine': 2}","{'tattoo-of-the-ramako-shaman': 1, 'divine': 1}"
Mirage,shrieking-essence-of-fear|chaos,"{'shrieking-essence-of-fear': 248, 'chaos': 266}","{'shrieking-essence-of-fear': 376, 'chaos': 529}","{'shrieking-essence-of-fear': 988, 'chaos': 569}","{'shrieking-essence-of-fear': 2, 'chaos': 5}","{'shrieking-essence-of-fear': 4, 'chaos': 1}"
Mirage,vaal|chaos,"{'vaal': 61972, 'chaos': 48552}","{'vaal': 177966, 'chaos': 58628}","{'vaal': 191782, 'chaos': 68448}","{'vaal': 1, 'chaos': 1}","{'vaal': 2, 'chaos': 1}"
Mirage,vaal|divine,"{'vaal': 56359, 'divine': 136}","{'vaal': 46671, 'divine': 62}","{'vaal': 79986, 'divine': 78}","{'vaal': 378, 'divine': 1}","{'vaal': 598, 'divine': 1}"
Mirage,vaal|fusing,"{'vaal': 1, 'fusing': 1}","{'vaal': 8, 'fusing': 96}","{'vaal': 8, 'fusing': 96}","{'vaal': 1, 'fusing': 1}","{'vaal': 1, 'fusing': 1}"
Mirage,vaal|aug,"{'vaal': 1, 'aug': 1}","{'vaal': 0, 'aug': 0}","{'vaal': 2, 'aug': 0}","{'vaal': 1, 'aug': 1}","{'vaal': 1, 'aug': 1}"
Mirage,screaming-essence-of-scorn|chaos,"{'screaming-essence-of-scorn': 746, 'chaos': 1006}","{'screaming-essence-of-scorn': 3334, 'chaos': 5440}","{'screaming-essence-of-scorn': 3534, 'chaos': 6282}","{'screaming-essence-of-scorn': 5, 'chaos': 14}","{'screaming-essence-of-scorn': 1, 'chaos': 1}"
Mirage,expedition-scarab-of-runefinding|chaos,"{'expedition-scarab-of-runefinding': 1744, 'chaos': 2704}","{'expedition-scarab-of-runefinding': 3628, 'chaos': 4003}","{'expedition-scarab-of-runefinding': 4550, 'chaos': 4208}","{'expedition-scarab-of-runefinding': 1, 'chaos': 2}","{'expedition-scarab-of-runefinding': 3, 'chaos': 1}"
Mirage,the-eternal-war|chaos,"{'the-eternal-war': 48, 'chaos': 3080}","{'the-eternal-war': 320, 'chaos': 2988}","{'the-eternal-war': 357, 'chaos': 3936}","{'the-eternal-war': 1, 'chaos': 70}","{'the-eternal-war': 1, 'chaos': 42}"
Mirage,the-eternal-war|divine,"{'the-eternal-war': 0, 'divine': 0}","{'the-eternal-war': 263, 'divine': 0}","{'the-eternal-war': 1019, 'divine': 0}","{'the-eternal-war': 0, 'divine': 0}","{'the-eternal-war': 0, 'divine': 0}"
