1,Abberath's Hooves,1,Triggers Level # Abberath's Fury when Equipped,7,7,,,,
1,Abberath's Hooves,2,#% increased Movement Speed,15,15,,,,
1,Abberath's Hooves,3,#% chance to Ignite,6,10,9,10,10,-89
1,Abberath's Hooves,4,"When you Kill an Ignited Enemy, inflict an equivalent Ignite on each nearby Enemy",1,1,,,,
1,Abberath's Hooves,5,+# to Strength,20,30,9,10,10,-197
1,Abberath's Hooves,6,Burning Hoofprints,1,1,,,,
1,Abberath's Hooves,7,#% increased Fire Damage per 20 Strength,1,1,,,,
2,Abberath's Horn,8,#% increased Fire Damage,20,30,1,1,1,-22
2,Abberath's Horn,9,#% increased Ignite Duration on Enemies,-25,-25,,,,
2,Abberath's Horn,10,#% increased Global Critical Strike Chance,40,60,1,1,1,-42
2,Abberath's Horn,11,Gain # Life per Ignited Enemy Killed,10,10,,,,
2,Abberath's Horn,12,Adds # to # Fire Damage to Spells,6,9,1,1,1,-8
3,Abhorrent Interrogation,13,#% increased Evasion and Energy Shield (Local),100,150,2,3.5,3,-202.5
3,Abhorrent Interrogation,14,#% increased Attack and Cast Speed,5,7,2,3,3,-11
3,Abhorrent Interrogation,15,#% chance to inflict Withered for 2 seconds on Hit,20,25,2,5,2,-21
3,Abhorrent Interrogation,16,"Enemies take #% increased Elemental Damage from your Hits for
each Withered you have inflicted on them",4,4,,,,
3,Abhorrent Interrogation,17,Your Hits cannot Penetrate or ignore Elemental Resistances,1,1,,,,
4,Abyssus,18,+# to all Attributes,20,25,3,5,4,-34
4,Abyssus,19,Adds # to # Physical Damage to Attacks,50,50,,,,
4,Abyssus,20,+#% to Melee Critical Strike Multiplier,100,125,3,5,5,-154
4,Abyssus,21,#% increased Armour (Local),100,120,3,5,4.5,-124
4,Abyssus,22,#% increased Physical Damage taken,40,50,3,4,5,-65
5,Acton's Nightmare,23,Area is inhabited by Skeletons,1,1,,,,
5,Acton's Nightmare,24,Area is a large Maze,1,1,,,,
5,Acton's Nightmare,25,Restless Dead,1,1,,,,
5,Acton's Nightmare,26,Area contains a Large Chest,1,1,,,,
5,Acton's Nightmare,27,Area has patches of Burning Ground,16000,16000,,,,
6,Actum,28,Has no Sockets,1,1,,,,
6,Actum,29,#% increased Physical Damage,200,250,9,30,10,-897
6,Actum,30,You have no Intelligence,1,1,,,,
6,Actum,31,Critical Strike Chance is #% for Hits with this Weapon,30,40,9,10,17.5,-197
7,Admiral's Arrogance,32,#% increased Attack Speed,6,12,2074.7999999999997,2667.6,2519.3999999999996,-28454.399999999998
7,Admiral's Arrogance,33,#% increased Armour (Local),100,140,2074.7999999999997,3112.2,2964,-169096.19999999995
7,Admiral's Arrogance,34,"#% chance that if you would gain Rage on Hit, you instead gain up to your maximum Rage",10,20,2074.7999999999997,3260.3999999999996,2519.3999999999996,-44459.99999999999
7,Admiral's Arrogance,35,+# to Level of all Melee Skill Gems,1,3,2074.7999999999997,4149.599999999999,2074.7999999999997,-10374.0
8,Advancing Fortress,36,#% Chance to Block Attack Damage,15,15,,,,
8,Advancing Fortress,37,#% increased Physical Damage,100,120,1,1,1,-42
8,Advancing Fortress,38,+# to Evasion Rating,110,110,,,,
8,Advancing Fortress,39,+# to maximum Energy Shield,35,35,,,,
8,Advancing Fortress,40,+# to maximum Life,30,50,1,1,1,-42
8,Advancing Fortress,41,Reflects # Physical Damage to Melee Attackers,71,90,1,1,1,-40
8,Advancing Fortress,42,Socketed Gems are Supported by Level # Fortify,12,12,,,,
9,Aegis Aurora,43,#% increased Armour and Energy Shield (Local),300,400,9,29.5,10,-1797.5
9,Aegis Aurora,44,+#% to maximum Cold Resistance,5,5,,,,
9,Aegis Aurora,45,+#% to all Elemental Resistances,10,10,,,,
9,Aegis Aurora,46,#% increased Elemental Damage with Attack Skills,10,20,9,10.5,10,-196.5
9,Aegis Aurora,47,+#% Chance to Block (Shields),6,6,,,,
9,Aegis Aurora,48,Recover Energy Shield equal to #% of Armour when you Block,2,2,,,,
10,Agnerod East,49,+# to Intelligence,80,120,2,3,2.5,-163
10,Agnerod East,50,#% increased Lightning Damage,30,50,2,2,2.5,-84
10,Agnerod East,51,+# to Level of all Lightning Spell Skill Gems,2,2,,,,
10,Agnerod East,52,#% increased Strength Requirement,40,40,,,,
10,Agnerod East,53,#% increased Duration of Lightning Ailments,100,100,,,,
10,Agnerod East,54,Damage Penetrates #% Lightning Resistance,20,20,,,,
11,Agnerod North,55,+# to Intelligence,80,120,2,2,3,-164
11,Agnerod North,56,#% increased Lightning Damage,30,50,2,3,2,-83
11,Agnerod North,57,+# to Level of all Lightning Spell Skill Gems,2,2,,,,
11,Agnerod North,58,#% increased Strength Requirement,40,40,,,,
11,Agnerod North,59,Damage Penetrates #% Lightning Resistance,20,20,,,,
11,Agnerod North,60,#% chance to Shock,15,15,,,,
12,Agnerod South,61,+# to Intelligence,80,120,2.5,3,3,-204.5
12,Agnerod South,62,#% increased Lightning Damage,30,50,2.5,3,3,-104.5
12,Agnerod South,63,+# to Level of all Lightning Spell Skill Gems,2,2,,,,
12,Agnerod South,64,#% increased Strength Requirement,40,40,,,,
12,Agnerod South,65,Damage Penetrates #% Lightning Resistance,20,20,,,,
12,Agnerod South,66,+#% to maximum Lightning Resistance,5,5,,,,
13,Agnerod West,67,+# to Intelligence,80,120,2,2,2.5,-164
13,Agnerod West,68,#% increased Lightning Damage,30,50,2,2,2,-84
13,Agnerod West,69,+# to Level of all Lightning Spell Skill Gems,2,2,,,,
13,Agnerod West,70,#% increased Strength Requirement,40,40,,,,
13,Agnerod West,71,Damage Penetrates #% Lightning Resistance,20,20,,,,
13,Agnerod West,72,Adds # to # Lightning Damage to Spells,52.5,77.5,2,2.5,2,-103.5
14,Ahkeli's Meadow,73,#% increased maximum Life,5,5,,,,
14,Ahkeli's Meadow,74,#% increased maximum Energy Shield,5,5,,,,
14,Ahkeli's Meadow,75,+# to Strength,20,20,,,,
15,Ahkeli's Mountain,76,#% increased maximum Life,5,5,,,,
15,Ahkeli's Mountain,77,#% increased maximum Energy Shield,5,5,,,,
15,Ahkeli's Mountain,78,+# to Strength,20,20,,,,
16,Ahkeli's Valley,79,#% increased maximum Life,5,5,,,,
16,Ahkeli's Valley,80,#% increased maximum Energy Shield,5,5,,,,
16,Ahkeli's Valley,81,+# to Strength,20,20,,,,
17,Ahn's Contempt,82,You take #% reduced Extra Damage from Critical Strikes while you have no Power Charges,50,50,,,,
17,Ahn's Contempt,83,Gain #% of Physical Damage as Extra Chaos Damage while at maximum Power Charges,8,12,1,1,1,-10
17,Ahn's Contempt,84,#% increased Armour and Energy Shield (Local),60,140,1,1,1,-162
17,Ahn's Contempt,85,+# to maximum Life,60,70,1,1,1,-22
17,Ahn's Contempt,86,+# to all Attributes,15,20,1,1,1,-12
17,Ahn's Contempt,87,+# to Maximum Power Charges,-1,-1,,,,
18,Ahn's Heritage,88,+#% to all maximum Resistances while you have no Endurance Charges,2,2,,,,
18,Ahn's Heritage,89,+# to maximum Life,60,80,0.2,0.66,0.26,-7.9399999999999995
18,Ahn's Heritage,90,#% increased Armour (Local),50,100,0.2,1,0.2,-19.6
18,Ahn's Heritage,91,+#% Chance to Block (Shields),6,6,,,,
18,Ahn's Heritage,92,+#% to maximum Chance to Block Attack Damage,-10,-10,,,,
18,Ahn's Heritage,93,You have Onslaught while at maximum Endurance Charges,1,1,,,,
